epoch,train_loss,val_loss,val_acc_cat,val_acc_solv1,val_acc_solv2,val_acc_reag1,val_acc_reag2
1,8.386932,8.052273,0.814191,0.225245,0.769164,0.300395,0.848523
2,7.978436,7.969241,0.814191,0.242354,0.771638,0.313866,0.852103
3,7.927333,7.939506,0.814191,0.225952,0.775552,0.308461,0.851184
4,7.648683,7.150498,0.814191,0.297722,0.791748,0.374806,0.854809
5,6.833641,6.641934,0.825059,0.352678,0.799428,0.410392,0.859713
6,6.561044,6.510171,0.826575,0.357319,0.801587,0.427012,0.862014
7,6.434547,6.458194,0.821543,0.3589,0.800945,0.425232,0.8629
8,6.338076,6.312562,0.829583,0.364035,0.803246,0.445149,0.864874
9,6.258631,6.249376,0.832366,0.368469,0.803111,0.452855,0.866448
10,6.200995,6.163379,0.833137,0.376355,0.803933,0.456911,0.868447
11,6.147349,6.160378,0.829333,0.377589,0.804068,0.460812,0.868441
12,6.106906,6.100959,0.826106,0.380951,0.80617,0.462965,0.868344
13,6.041234,6.057168,0.835901,0.382274,0.808194,0.471005,0.86954
14,6.014323,6.025362,0.83173,0.389524,0.808837,0.47443,0.87114
15,5.975009,5.976721,0.83297,0.39178,0.808709,0.479315,0.871416
16,5.935889,5.948851,0.830869,0.392384,0.808593,0.484938,0.872052
17,5.905213,5.917477,0.833574,0.398162,0.809615,0.485253,0.872579
18,5.896499,5.909875,0.835303,0.396356,0.809756,0.486288,0.872933
19,5.865724,5.886441,0.833754,0.398817,0.809853,0.488319,0.872946
20,5.833942,5.86674,0.839172,0.39865,0.809448,0.490119,0.873736
21,5.832158,5.885965,0.840008,0.397307,0.809023,0.488383,0.872875
22,5.808952,5.828402,0.838112,0.403291,0.809203,0.49339,0.873499
23,5.78384,5.81876,0.840053,0.405071,0.809949,0.497201,0.874553
24,5.772587,5.806465,0.841216,0.403972,0.807867,0.497053,0.874745
25,5.748265,5.78388,0.841968,0.405559,0.811176,0.498872,0.87416
26,5.734287,5.780005,0.842553,0.406311,0.810688,0.500292,0.874308
27,5.735521,5.788943,0.841312,0.406369,0.810032,0.500627,0.87463
28,5.715968,5.764331,0.835425,0.407693,0.811144,0.502265,0.875317
29,5.707474,5.773843,0.841428,0.408496,0.810932,0.500582,0.874694
30,5.704024,5.76758,0.842399,0.405405,0.809332,0.504958,0.874527
31,5.67947,5.775149,0.840001,0.407102,0.808978,0.50224,0.874758
32,5.679514,5.738999,0.841042,0.413156,0.812192,0.503474,0.875272
33,5.661659,5.733949,0.841255,0.414152,0.811331,0.505742,0.875356
34,5.660065,5.716095,0.842971,0.413195,0.811067,0.504476,0.875112
35,5.637615,5.7095,0.844468,0.41662,0.81153,0.504888,0.875452
36,5.636767,5.74477,0.842559,0.41421,0.810817,0.503107,0.875304
37,5.648117,5.693983,0.843742,0.416614,0.812623,0.508435,0.87686
38,5.624606,5.707103,0.844744,0.415849,0.8102,0.503731,0.875825
39,5.625853,5.703026,0.843067,0.413914,0.811524,0.505762,0.87659
40,5.61311,5.685344,0.845618,0.414949,0.811819,0.508532,0.876416
41,5.614949,5.682408,0.843131,0.416871,0.812539,0.508596,0.876211
42,5.595679,5.681773,0.844436,0.41554,0.812732,0.510511,0.876673
43,5.591137,5.683165,0.844487,0.418355,0.811845,0.510942,0.876371
44,5.579934,5.679603,0.84121,0.418889,0.811626,0.512324,0.876358
45,5.575463,5.646361,0.845406,0.417822,0.813227,0.513288,0.877014
46,5.564465,5.655977,0.846737,0.420958,0.812648,0.512465,0.876725
47,5.566843,5.651261,0.847283,0.421119,0.81297,0.511546,0.877483
48,5.566062,5.674133,0.846518,0.419904,0.81225,0.508667,0.876159
49,5.569692,5.66649,0.84853,0.420746,0.810817,0.511906,0.876403
50,5.573348,5.658967,0.847026,0.418947,0.812912,0.513873,0.877676
