Epoch 001  train_loss=1.9733  val_EM=0.2144  lr=3.03e-05  [39438.1s]
Epoch 002  train_loss=1.7928  val_EM=0.2312  lr=8.55e-05  [37165.0s]
Epoch 003  train_loss=1.7117  val_EM=0.2505  lr=1.54e-04  [37886.3s]
Epoch 004  train_loss=1.6105  val_EM=0.2721  lr=2.09e-04  [36912.5s]
Epoch 005  train_loss=1.4921  val_EM=0.2892  lr=2.30e-04  [36236.7s]
Epoch 006  train_loss=1.3623  val_EM=0.3074  lr=2.30e-04  [38914.2s]
Epoch 007  train_loss=1.2427  val_EM=0.3106  lr=2.30e-04  [39473.3s]
Epoch 008  train_loss=1.1430  val_EM=0.3137  lr=2.29e-04  [36973.1s]
Epoch 009  train_loss=1.0625  val_EM=0.3160  lr=2.29e-04  [36455.6s]
Epoch 010  train_loss=0.9978  val_EM=0.3158  lr=2.28e-04  [36776.9s]
Epoch 011  train_loss=0.9458  val_EM=0.3152  lr=2.28e-04  [38856.0s]
Epoch 012  train_loss=0.9036  val_EM=0.3171  lr=2.27e-04  [37488.8s]
Epoch 013  train_loss=0.8690  val_EM=0.3152  lr=2.26e-04  [36763.5s]
Epoch 014  train_loss=0.8406  val_EM=0.3158  lr=2.25e-04  [37171.2s]
Epoch 015  train_loss=0.8164  val_EM=0.3171  lr=2.24e-04  [38430.2s]
Epoch 016  train_loss=0.7956  val_EM=0.3144  lr=2.22e-04  [43490.6s]
Epoch 017  train_loss=0.7780  val_EM=0.3153  lr=2.21e-04  [44357.2s]
