epoch,train_loss,val_cross_entropy,best_val,best_epoch
0,0.86347,0.563277,0.563277,0
1,0.519707,0.500755,0.500755,1
2,0.477467,0.467985,0.467985,2
3,0.458328,0.454415,0.454415,3
4,0.446829,0.448988,0.448988,4
5,0.438598,0.438633,0.438633,5
6,0.432151,0.434292,0.434292,6
7,0.425528,0.428732,0.428732,7
8,0.420233,0.42357,0.42357,8
9,0.415154,0.417736,0.417736,9
10,0.410761,0.414571,0.414571,10
11,0.405715,0.411674,0.411674,11
12,0.401987,0.41142,0.41142,12
13,0.39804,0.406621,0.406621,13
14,0.394402,0.40651,0.40651,14
15,0.391246,0.403209,0.403209,15
16,0.387871,0.397974,0.397974,16
17,0.384824,0.399726,0.397974,16
18,0.381903,0.394928,0.394928,18
19,0.379317,0.394318,0.394318,19
20,0.377015,0.391112,0.391112,20
21,0.374477,0.390412,0.390412,21
22,0.372233,0.387454,0.387454,22
23,0.370117,0.389525,0.387454,22
24,0.36817,0.387617,0.387454,22
25,0.3666,0.385189,0.385189,25
26,0.364681,0.383619,0.383619,26
27,0.363142,0.382325,0.382325,27
28,0.361482,0.382803,0.382325,27
29,0.360284,0.381543,0.381543,29
30,0.35888,0.381383,0.381383,30
31,0.357725,0.380087,0.380087,31
32,0.356327,0.38086,0.380087,31
33,0.355407,0.379948,0.379948,33
34,0.354345,0.379039,0.379039,34
