epoch,train_loss,val_cross_entropy,best_val,best_epoch
0,3.14699,2.523781,2.523781,0
1,2.31186,2.183888,2.183888,1
2,2.106071,2.058987,2.058987,2
3,2.014006,1.996955,1.996955,3
4,1.95898,1.957263,1.957263,4
5,1.920012,1.919678,1.919678,5
6,1.889356,1.895964,1.895964,6
7,1.865974,1.88464,1.88464,7
8,1.845138,1.861725,1.861725,8
9,1.827374,1.857714,1.857714,9
10,1.811942,1.833749,1.833749,10
11,1.797034,1.830668,1.830668,11
12,1.785536,1.816862,1.816862,12
13,1.774305,1.808681,1.808681,13
14,1.763564,1.801512,1.801512,14
15,1.754435,1.79394,1.79394,15
16,1.746544,1.789279,1.789279,16
17,1.737778,1.780671,1.780671,17
18,1.730239,1.776469,1.776469,18
19,1.723911,1.767687,1.767687,19
20,1.717699,1.765216,1.765216,20
21,1.711805,1.762836,1.762836,21
22,1.706112,1.756688,1.756688,22
23,1.701645,1.754919,1.754919,23
24,1.696838,1.754987,1.754919,23
25,1.69229,1.74953,1.74953,25
26,1.688421,1.747369,1.747369,26
27,1.684532,1.744457,1.744457,27
28,1.681158,1.742036,1.742036,28
29,1.677743,1.74129,1.74129,29
30,1.674572,1.740696,1.740696,30
31,1.671701,1.736809,1.736809,31
32,1.669146,1.735994,1.735994,32
33,1.666529,1.73373,1.73373,33
34,1.663994,1.732734,1.732734,34
