epoch,train_loss,val_cross_entropy,best_val,best_epoch
0,2.430947,2.143871,2.143871,0
1,2.051064,1.998895,1.998895,1
2,1.948767,1.928149,1.928149,2
3,1.900015,1.889746,1.889746,3
4,1.869174,1.85873,1.85873,4
5,1.845251,1.849537,1.849537,5
6,1.82836,1.83038,1.83038,6
7,1.812276,1.820518,1.820518,7
8,1.798058,1.803962,1.803962,8
9,1.785461,1.805289,1.803962,8
10,1.775021,1.791928,1.791928,10
11,1.764235,1.784211,1.784211,11
12,1.755053,1.774517,1.774517,12
13,1.74614,1.775806,1.774517,12
14,1.738602,1.761661,1.761661,14
15,1.73108,1.76152,1.76152,15
16,1.724692,1.751653,1.751653,16
17,1.717382,1.748013,1.748013,17
18,1.712419,1.741186,1.741186,18
19,1.706917,1.737839,1.737839,19
20,1.701482,1.740442,1.737839,19
21,1.696758,1.733535,1.733535,21
22,1.6923,1.727525,1.727525,22
23,1.688529,1.726712,1.726712,23
24,1.684197,1.724795,1.724795,24
25,1.681071,1.724654,1.724654,25
26,1.677622,1.720364,1.720364,26
27,1.674238,1.720877,1.720364,26
28,1.671476,1.717325,1.717325,28
29,1.668761,1.715794,1.715794,29
30,1.666149,1.712264,1.712264,30
31,1.663394,1.710897,1.710897,31
32,1.661342,1.708779,1.708779,32
33,1.659577,1.709682,1.708779,32
34,1.657219,1.709848,1.708779,32
